Godot Engine v4.6.3.stable.mono.official.7d41c59c4 - https://godotengine.org
[TIMING ] wwise_callback=beat  position_beats=61.994  error_ms=5.000
[TIMING ] wwise_callback=grid  position_beats=61.994  error_ms=5.000
[TIMING ] wwise_callback=beat  position_beats=62.963  error_ms=4.000
[TIMING ] wwise_callback=grid  position_beats=62.963  error_ms=4.000
[AUDIO  ] arrangement=transition  section=loop  requested_at=64.009
[TIMING ] wwise_segment=wrapped  segment_ms=14769.000  elapsed_ms=29538.000
[TIMING ] wwise_callback=beat  position_beats=64.991  error_ms=2.000
[TIMING ] wwise_callback=grid  position_beats=64.991  error_ms=2.000
[TIMING ] wwise_callback=beat  position_beats=65.959  error_ms=1.000
[TIMING ] wwise_callback=grid  position_beats=65.959  error_ms=1.000
[TIMING ] wwise_callback=beat  position_beats=66.976  error_ms=0.000
[TIMING ] wwise_callback=grid  position_beats=66.976  error_ms=0.000
[TIMING ] wwise_callback=bar  position_beats=68.005  error_ms=6.000
[TIMING ] wwise_callback=beat  position_beats=68.005  error_ms=6.000
[TIMING ] wwise_callback=grid  position_beats=68.005  error_ms=6.000
[TIMING ] wwise_callback=beat  position_beats=68.978  error_ms=5.000
[TIMING ] wwise_callback=grid  position_beats=68.978  error_ms=5.000
[TIMING ] wwise_callback=beat  position_beats=69.979  error_ms=0.000
[TIMING ] wwise_callback=grid  position_beats=69.979  error_ms=0.000
[TIMING ] wwise_callback=beat  position_beats=71.010  error_ms=6.000
[TIMING ] wwise_callback=grid  position_beats=71.010  error_ms=6.000
[TIMING ] wwise_callback=bar  position_beats=71.978  error_ms=5.000
[TIMING ] wwise_callback=beat  position_beats=71.978  error_ms=5.000
[TIMING ] wwise_callback=grid  position_beats=71.978  error_ms=5.000
[TIMING ] wwise_callback=beat  position_beats=72.992  error_ms=4.000
[TIMING ] wwise_callback=grid  position_beats=72.992  error_ms=4.000
[TIMING ] wwise_callback=beat  position_beats=73.959  error_ms=2.000
[TIMING ] wwise_callback=grid  position_beats=73.959  error_ms=2.000
[TIMING ] wwise_callback=beat  position_beats=74.975  error_ms=2.000
[TIMING ] wwise_callback=grid  position_beats=74.975  error_ms=2.000
[TIMING ] wwise_callback=bar  position_beats=75.991  error_ms=1.000
[TIMING ] wwise_callback=beat  position_beats=75.991  error_ms=1.000
[TIMING ] wwise_callback=grid  position_beats=75.991  error_ms=1.000
[TIMING ] wwise_callback=beat  position_beats=76.975  error_ms=6.000
[TIMING ] wwise_callback=grid  position_beats=76.975  error_ms=6.000
[TIMING ] wwise_callback=beat  position_beats=77.993  error_ms=5.000
[TIMING ] wwise_callback=grid  position_beats=77.993  error_ms=5.000
[TIMING ] wwise_callback=beat  position_beats=78.994  error_ms=1.000
[TIMING ] wwise_callback=grid  position_beats=78.994  error_ms=1.000
[TIMING ] wwise_callback=bar  position_beats=79.975  error_ms=6.000
[TIMING ] wwise_callback=beat  position_beats=79.975  error_ms=6.000
[TIMING ] wwise_callback=grid  position_beats=79.975  error_ms=6.000
[AUDIO  ] arrangement=layer  enabled=true  requested_at=80.010
[TIMING ] wwise_callback=beat  position_beats=80.992  error_ms=5.000
[TIMING ] wwise_callback=grid  position_beats=80.992  error_ms=5.000
[TIMING ] wwise_callback=beat  position_beats=82.008  error_ms=5.000
[TIMING ] wwise_callback=grid  position_beats=82.008  error_ms=5.000
[TIMING ] wwise_callback=beat  position_beats=82.974  error_ms=3.000
[TIMING ] wwise_callback=grid  position_beats=82.974  error_ms=3.000
[TIMING ] wwise_callback=bar  position_beats=83.988  error_ms=2.000
[TIMING ] wwise_callback=beat  position_beats=83.988  error_ms=2.000
[TIMING ] wwise_callback=grid  position_beats=83.988  error_ms=2.000
[TIMING ] wwise_callback=beat  position_beats=84.957  error_ms=1.000
[TIMING ] wwise_callback=grid  position_beats=84.957  error_ms=1.000
[TIMING ] wwise_callback=beat  position_beats=85.975  error_ms=0.000
[TIMING ] wwise_callback=grid  position_beats=85.975  error_ms=0.000
[TIMING ] wwise_callback=beat  position_beats=87.006  error_ms=6.000
[TIMING ] wwise_callback=grid  position_beats=87.006  error_ms=6.000
[TIMING ] wwise_callback=bar  position_beats=87.962  error_ms=1.000
[TIMING ] wwise_callback=beat  position_beats=87.962  error_ms=1.000
[TIMING ] wwise_callback=grid  position_beats=87.962  error_ms=1.000
[TIMING ] wwise_callback=beat  position_beats=88.976  error_ms=0.000
[TIMING ] wwise_callback=grid  position_beats=88.976  error_ms=0.000
[TIMING ] wwise_callback=beat  position_beats=90.007  error_ms=6.000
[TIMING ] wwise_callback=grid  position_beats=90.007  error_ms=6.000
[TIMING ] wwise_callback=beat  position_beats=90.973  error_ms=4.000
[TIMING ] wwise_callback=grid  position_beats=90.973  error_ms=4.000
[TIMING ] wwise_callback=bar  position_beats=91.990  error_ms=4.000
[TIMING ] wwise_callback=beat  position_beats=91.990  error_ms=4.000
[TIMING ] wwise_callback=grid  position_beats=91.990  error_ms=4.000
[TIMING ] wwise_callback=beat  position_beats=93.004  error_ms=3.000
[TIMING ] wwise_callback=grid  position_beats=93.004  error_ms=3.000
[TIMING ] wwise_callback=beat  position_beats=93.972  error_ms=2.000
[TIMING ] wwise_callback=grid  position_beats=93.972  error_ms=2.000
[TIMING ] wwise_callback=beat  position_beats=94.990  error_ms=1.000
[TIMING ] wwise_callback=grid  position_beats=94.990  error_ms=1.000
[AUDIO  ] arrangement=transition  section=alternate  requested_at=96.007
[TIMING ] wwise_segment=wrapped  segment_ms=14769.000  elapsed_ms=44307.000
[TIMING ] wwise_callback=beat  position_beats=96.977  error_ms=2.000
[TIMING ] wwise_callback=grid  position_beats=96.977  error_ms=2.000
[TIMING ] wwise_callback=beat  position_beats=97.991  error_ms=1.000
[TIMING ] wwise_callback=grid  position_beats=97.991  error_ms=1.000
[TIMING ] wwise_callback=beat  position_beats=98.973  error_ms=6.000
[TIMING ] wwise_callback=grid  position_beats=98.973  error_ms=6.000
[TIMING ] wwise_callback=bar  position_beats=99.987  error_ms=5.000
[TIMING ] wwise_callback=beat  position_beats=99.987  error_ms=5.000
[TIMING ] wwise_callback=grid  position_beats=99.987  error_ms=5.000
[TIMING ] wwise_callback=beat  position_beats=101.005  error_ms=5.000
[TIMING ] wwise_callback=grid  position_beats=101.005  error_ms=5.000
[TIMING ] wwise_callback=beat  position_beats=101.971  error_ms=3.000
[TIMING ] wwise_callback=grid  position_beats=101.971  error_ms=3.000
[TIMING ] wwise_callback=beat  position_beats=102.985  error_ms=2.000
[TIMING ] wwise_callback=grid  position_beats=102.985  error_ms=2.000
[TIMING ] wwise_callback=bar  position_beats=104.006  error_ms=1.000
[TIMING ] wwise_callback=beat  position_beats=104.006  error_ms=1.000
[TIMING ] wwise_callback=grid  position_beats=104.006  error_ms=1.000
[TIMING ] wwise_callback=beat  position_beats=104.974  error_ms=3.000
[TIMING ] wwise_callback=grid  position_beats=104.974  error_ms=3.000
[TIMING ] wwise_callback=beat  position_beats=105.990  error_ms=2.000
[TIMING ] wwise_callback=grid  position_beats=105.990  error_ms=2.000
[TIMING ] wwise_callback=beat  position_beats=106.959  error_ms=1.000
[TIMING ] wwise_callback=grid  position_beats=106.959  error_ms=1.000
[TIMING ] wwise_callback=bar  position_beats=107.973  error_ms=0.000
[TIMING ] wwise_callback=beat  position_beats=107.973  error_ms=0.000
[TIMING ] wwise_callback=grid  position_beats=107.973  error_ms=0.000
[TIMING ] wwise_callback=beat  position_beats=109.002  error_ms=6.000
[TIMING ] wwise_callback=grid  position_beats=109.002  error_ms=6.000
[TIMING ] wwise_callback=beat  position_beats=109.971  error_ms=5.000
[TIMING ] wwise_callback=grid  position_beats=109.971  error_ms=5.000
[TIMING ] wwise_callback=beat  position_beats=110.987  error_ms=4.000
[TIMING ] wwise_callback=grid  position_beats=110.987  error_ms=4.000
[AUDIO  ] arrangement=layer  enabled=false  requested_at=112.001
[TIMING ] wwise_callback=bar  position_beats=112.001  error_ms=3.000
[TIMING ] wwise_callback=beat  position_beats=112.001  error_ms=3.000
[TIMING ] wwise_callback=grid  position_beats=112.001  error_ms=3.000
[TIMING ] wwise_callback=beat  position_beats=112.976  error_ms=5.000
[TIMING ] wwise_callback=grid  position_beats=112.976  error_ms=5.000
[TIMING ] wwise_callback=beat  position_beats=113.990  error_ms=4.000
[TIMING ] wwise_callback=grid  position_beats=113.990  error_ms=4.000
[TIMING ] wwise_callback=beat  position_beats=114.956  error_ms=2.000
[TIMING ] wwise_callback=grid  position_beats=114.956  error_ms=2.000
[TIMING ] wwise_callback=bar  position_beats=115.974  error_ms=2.000
[TIMING ] wwise_callback=beat  position_beats=115.974  error_ms=2.000
[TIMING ] wwise_callback=grid  position_beats=115.974  error_ms=2.000
[TIMING ] wwise_callback=beat  position_beats=116.988  error_ms=1.000
[TIMING ] wwise_callback=grid  position_beats=116.988  error_ms=1.000
[TIMING ] wwise_callback=beat  position_beats=117.970  error_ms=6.000
[TIMING ] wwise_callback=grid  position_beats=117.970  error_ms=6.000
[TIMING ] wwise_callback=beat  position_beats=118.984  error_ms=5.000
[TIMING ] wwise_callback=grid  position_beats=118.984  error_ms=5.000
[TIMING ] wwise_callback=bar  position_beats=120.002  error_ms=5.000
[TIMING ] wwise_callback=beat  position_beats=120.002  error_ms=5.000
[TIMING ] wwise_callback=grid  position_beats=120.002  error_ms=5.000
[TIMING ] wwise_callback=beat  position_beats=120.971  error_ms=3.000
[TIMING ] wwise_callback=grid  position_beats=120.971  error_ms=3.000
[TIMING ] wwise_callback=beat  position_beats=121.989  error_ms=5.000
[TIMING ] wwise_callback=grid  position_beats=121.989  error_ms=5.000
[TIMING ] wwise_callback=beat  position_beats=123.005  error_ms=5.000
[TIMING ] wwise_callback=grid  position_beats=123.005  error_ms=5.000
[TIMING ] wwise_callback=bar  position_beats=123.971  error_ms=3.000
[TIMING ] wwise_callback=beat  position_beats=123.971  error_ms=3.000
[TIMING ] wwise_callback=grid  position_beats=123.971  error_ms=3.000
[TIMING ] wwise_callback=beat  position_beats=124.983  error_ms=0.000
[TIMING ] wwise_callback=grid  position_beats=124.983  error_ms=0.000
[TIMING ] wwise_callback=beat  position_beats=125.960  error_ms=3.000
[TIMING ] wwise_callback=grid  position_beats=125.960  error_ms=3.000
