Godot Engine v4.6.3.stable.mono.official.7d41c59c4 - https://godotengine.org
[TIMING ] wwise_callback=beat  position_beats=52.975  error_ms=2.000
[TIMING ] wwise_callback=grid  position_beats=52.975  error_ms=2.000
[TIMING ] wwise_callback=beat  position_beats=53.989  error_ms=1.000
[TIMING ] wwise_callback=grid  position_beats=53.989  error_ms=1.000
[TIMING ] wwise_callback=beat  position_beats=54.957  error_ms=0.000
[TIMING ] wwise_callback=grid  position_beats=54.957  error_ms=0.000
[TIMING ] wwise_callback=bar  position_beats=55.986  error_ms=6.000
[TIMING ] wwise_callback=beat  position_beats=55.986  error_ms=6.000
[TIMING ] wwise_callback=grid  position_beats=55.986  error_ms=6.000
[TIMING ] wwise_callback=beat  position_beats=57.002  error_ms=5.000
[TIMING ] wwise_callback=grid  position_beats=57.002  error_ms=5.000
[TIMING ] wwise_callback=beat  position_beats=57.971  error_ms=4.000
[TIMING ] wwise_callback=grid  position_beats=57.971  error_ms=4.000
[TIMING ] wwise_callback=beat  position_beats=58.985  error_ms=3.000
[TIMING ] wwise_callback=grid  position_beats=58.985  error_ms=3.000
[TIMING ] wwise_callback=bar  position_beats=59.999  error_ms=2.000
[TIMING ] wwise_callback=beat  position_beats=59.999  error_ms=2.000
[TIMING ] wwise_callback=grid  position_beats=59.999  error_ms=2.000
[TIMING ] wwise_callback=beat  position_beats=60.974  error_ms=4.000
[TIMING ] wwise_callback=grid  position_beats=60.974  error_ms=4.000
[TIMING ] wwise_callback=beat  position_beats=61.990  error_ms=3.000
[TIMING ] wwise_callback=grid  position_beats=61.990  error_ms=3.000
[TIMING ] wwise_callback=beat  position_beats=62.956  error_ms=1.000
[TIMING ] wwise_callback=grid  position_beats=62.956  error_ms=1.000
[AUDIO  ] arrangement=transition  section=loop  requested_at=64.003
[TIMING ] wwise_segment=wrapped  segment_ms=14769.000  elapsed_ms=29538.000
[TIMING ] wwise_callback=beat  position_beats=64.987  error_ms=0.000
[TIMING ] wwise_callback=grid  position_beats=64.987  error_ms=0.000
[TIMING ] wwise_callback=beat  position_beats=65.968  error_ms=5.000
[TIMING ] wwise_callback=grid  position_beats=65.968  error_ms=5.000
[TIMING ] wwise_callback=beat  position_beats=66.984  error_ms=4.000
[TIMING ] wwise_callback=grid  position_beats=66.984  error_ms=4.000
[TIMING ] wwise_callback=bar  position_beats=67.998  error_ms=3.000
[TIMING ] wwise_callback=beat  position_beats=67.998  error_ms=3.000
[TIMING ] wwise_callback=grid  position_beats=67.998  error_ms=3.000
[TIMING ] wwise_callback=beat  position_beats=68.971  error_ms=2.000
[TIMING ] wwise_callback=grid  position_beats=68.971  error_ms=2.000
[TIMING ] wwise_callback=beat  position_beats=69.987  error_ms=4.000
[TIMING ] wwise_callback=grid  position_beats=69.987  error_ms=4.000
[TIMING ] wwise_callback=beat  position_beats=71.003  error_ms=3.000
[TIMING ] wwise_callback=grid  position_beats=71.003  error_ms=3.000
[TIMING ] wwise_callback=bar  position_beats=71.972  error_ms=2.000
[TIMING ] wwise_callback=beat  position_beats=71.972  error_ms=2.000
[TIMING ] wwise_callback=grid  position_beats=71.972  error_ms=2.000
[TIMING ] wwise_callback=beat  position_beats=72.986  error_ms=1.000
[TIMING ] wwise_callback=grid  position_beats=72.986  error_ms=1.000
[TIMING ] wwise_callback=beat  position_beats=73.954  error_ms=0.000
[TIMING ] wwise_callback=grid  position_beats=73.954  error_ms=0.000
[TIMING ] wwise_callback=beat  position_beats=74.983  error_ms=6.000
[TIMING ] wwise_callback=grid  position_beats=74.983  error_ms=6.000
[TIMING ] wwise_callback=bar  position_beats=76.000  error_ms=5.000
[TIMING ] wwise_callback=beat  position_beats=76.000  error_ms=5.000
[TIMING ] wwise_callback=grid  position_beats=76.000  error_ms=5.000
[TIMING ] wwise_callback=beat  position_beats=76.968  error_ms=3.000
[TIMING ] wwise_callback=grid  position_beats=76.968  error_ms=3.000
[TIMING ] wwise_callback=beat  position_beats=77.986  error_ms=4.000
[TIMING ] wwise_callback=grid  position_beats=77.986  error_ms=4.000
[TIMING ] wwise_callback=beat  position_beats=79.003  error_ms=5.000
[TIMING ] wwise_callback=grid  position_beats=79.003  error_ms=5.000
[TIMING ] wwise_callback=bar  position_beats=79.969  error_ms=3.000
[TIMING ] wwise_callback=beat  position_beats=79.969  error_ms=3.000
[TIMING ] wwise_callback=grid  position_beats=79.969  error_ms=3.000
[AUDIO  ] arrangement=layer  enabled=true  requested_at=80.001
[TIMING ] wwise_callback=beat  position_beats=80.987  error_ms=3.000
[TIMING ] wwise_callback=grid  position_beats=80.987  error_ms=3.000
[TIMING ] wwise_callback=beat  position_beats=82.001  error_ms=2.000
[TIMING ] wwise_callback=grid  position_beats=82.001  error_ms=2.000
[TIMING ] wwise_callback=beat  position_beats=82.968  error_ms=0.000
[TIMING ] wwise_callback=grid  position_beats=82.968  error_ms=0.000
[TIMING ] wwise_callback=bar  position_beats=83.984  error_ms=0.000
[TIMING ] wwise_callback=beat  position_beats=83.984  error_ms=0.000
[TIMING ] wwise_callback=grid  position_beats=83.984  error_ms=0.000
[TIMING ] wwise_callback=beat  position_beats=84.965  error_ms=5.000
[TIMING ] wwise_callback=grid  position_beats=84.965  error_ms=5.000
[TIMING ] wwise_callback=beat  position_beats=85.984  error_ms=4.000
[TIMING ] wwise_callback=grid  position_beats=85.984  error_ms=4.000
[TIMING ] wwise_callback=beat  position_beats=87.000  error_ms=4.000
[TIMING ] wwise_callback=grid  position_beats=87.000  error_ms=4.000
[TIMING ] wwise_callback=bar  position_beats=87.970  error_ms=5.000
[TIMING ] wwise_callback=beat  position_beats=87.970  error_ms=5.000
[TIMING ] wwise_callback=grid  position_beats=87.970  error_ms=5.000
[TIMING ] wwise_callback=beat  position_beats=88.987  error_ms=5.000
[TIMING ] wwise_callback=grid  position_beats=88.987  error_ms=5.000
[TIMING ] wwise_callback=beat  position_beats=90.003  error_ms=4.000
[TIMING ] wwise_callback=grid  position_beats=90.003  error_ms=4.000
[TIMING ] wwise_callback=beat  position_beats=90.978  error_ms=6.000
[TIMING ] wwise_callback=grid  position_beats=90.978  error_ms=6.000
[TIMING ] wwise_callback=bar  position_beats=91.998  error_ms=8.000
[TIMING ] wwise_callback=beat  position_beats=91.998  error_ms=8.000
[TIMING ] wwise_callback=grid  position_beats=91.998  error_ms=8.000
[TIMING ] wwise_callback=beat  position_beats=92.999  error_ms=1.000
[TIMING ] wwise_callback=grid  position_beats=92.999  error_ms=1.000
[TIMING ] wwise_callback=beat  position_beats=93.981  error_ms=6.000
[TIMING ] wwise_callback=grid  position_beats=93.981  error_ms=6.000
[TIMING ] wwise_callback=beat  position_beats=94.999  error_ms=5.000
[TIMING ] wwise_callback=grid  position_beats=94.999  error_ms=5.000
[AUDIO  ] arrangement=transition  section=alternate  requested_at=96.002
